A149ROBL26JWPJ:3X65QVEQI163TBCXP7E2MB4GUO4LCM,initialized,0,,1423774460534
A149ROBL26JWPJ:3X65QVEQI163TBCXP7E2MB4GUO4LCM,window_resize,1,"[1024, 768]",1423774460535
A149ROBL26JWPJ:3X65QVEQI163TBCXP7E2MB4GUO4LCM,focus,12961,off,1423774473496
A149ROBL26JWPJ:3X65QVEQI163TBCXP7E2MB4GUO4LCM,focus,1919,on,1423774475415
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,initialized,0,,1423589438566
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,window_resize,0,"[1024, 768]",1423589438566
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,108,on,1423589438674
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,52255,off,1423589490929
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,358,on,1423589491287
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,window_resize,163,"[1263, 844]",1423589491450
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,137382,off,1423589628832
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,5878,on,1423589634710
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,196716,off,1423589831426
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,5843,on,1423589837269
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,342388,off,1423590179657
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,19104,on,1423590198761
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,899901,off,1423591098662
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,10678,on,1423591109340
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,3,off,1423591109343
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,3346843,on,1423594456186
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,3373,off,1423594459559
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,2556006,on,1423597015565
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,1,off,1423597015566
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,focus,79,on,1423597015645
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,window_resize,180,"[1260, 843]",1423597015825
A18TCR555RWUZV:3TK8OJTYM24PJ5XV8G2ETK1PK5KVPS,initialized,0,,1423771224654
A18TCR555RWUZV:3TK8OJTYM24PJ5XV8G2ETK1PK5KVPS,window_resize,1,"[1024, 768]",1423771224655
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,initialized,0,,1423773506132
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,0,"[1366, 675]",1423773506132
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,focus,49667,off,1423773555799
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,focus,43568,on,1423773599367
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,78682,"[1024, 711]",1423773678049
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,2628,"[1366, 675]",1423773680677
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,4575,"[1024, 711]",1423773685252
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,1962,"[1366, 675]",1423773687214
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,1918,"[1024, 711]",1423773689132
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,2729,"[1024, 529]",1423773691861
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,1314,"[1366, 675]",1423773693175
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,2522,"[1024, 529]",1423773695697
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,6175,"[1024, 591]",1423773701872
A1XOXGWBAN6HEJ:34QN5IT0T0AOKCXYJ2CEM5G91Z780T,window_resize,1532,"[1024, 659]",1423773703404
